family,name,n,tau_real,tau_diff_real,s,phi,nullpos_iid,p_iid,nullpos_diff_iid,p_diff_iid,nullpos_ar1,p_ar1,nullpos_diff_ar1,p_diff_ar1
Historical,Telephones,80,0.7549857549857552,0.9876923076923078,0.061259388390831594,0.95,0.465,0.07,0.425,0.0,0.435,0.04,0.585,0.0
Historical,Telephones,49,0.8005698005698006,0.7846153846153847,0.08407633041015503,0.95,0.55,0.02,0.54,0.03,0.535,0.02,0.475,0.03
Historical,Telephones,78,0.562753036437247,0.8776671408250356,0.052060116845442074,0.95,0.495,0.185,0.475,0.0,0.53,0.185,0.555,0.01
Historical,Washing Machines,63,0.3940886699507389,0.0582010582010582,0.030578163400953474,0.95,0.54,0.29,0.49,0.46,0.48,0.265,0.5,0.475
Historical,Refrigerators,50,0.7857142857142856,0.5238095238095238,0.027996011502132902,0.95,0.58,0.06,0.51,0.22,0.5175879396984925,0.15577889447236182,0.4,0.18974358974358974
Historical,Telephones,86,0.32564102564102565,0.9379217273954116,0.041473249271173164,0.95,0.43,0.285,0.425,0.0,0.495,0.285,0.555,0.0
Historical,Laundry Dryers,68,0.592741935483871,-0.19569892473118283,0.034836748019165774,0.95,0.47,0.155,0.465,0.6,0.5,0.18,0.515,0.655
Historical,Passenger Cars,65,-0.23976608187134502,0.47712418300653603,0.032052673031341385,0.95,0.49,0.655,0.49,0.255,0.465,0.63,0.545,0.2
Historical,Passenger Cars,48,0.9999999999999999,1.0,0.031102059218455932,0.95,0.52,0.01,0.3969849246231156,0.005025125628140704,0.5129533678756477,0.08290155440414508,0.3695652173913043,0.005434782608695652
Historical,Telephones,74,-0.06401137980085349,0.4144144144144144,0.060214513399922474,0.95,0.5,0.525,0.5,0.25,0.5,0.545,0.555,0.285
Historical,Passenger Cars,76,0.40689655172413797,0.6059113300492609,0.044976754511566165,0.9258847669432532,0.455,0.265,0.475,0.15,0.56,0.315,0.68,0.26
Historical,Passenger Cars,67,-0.7222222222222222,0.07142857142857142,0.03419873012274559,0.95,0.6,0.94,0.455,0.41,0.5276381909547738,0.914572864321608,0.4336734693877551,0.413265306122449
Historical,Passenger Cars,37,0.47368421052631576,-0.3856209150326798,0.03184102210511416,0.8852168860331451,0.413265306122449,0.22959183673469388,0.4666666666666667,0.6820512820512821,0.4576271186440678,0.1977401129943503,0.5,0.6987951807228916
Historical,Passenger Cars,50,0.7536231884057971,0.9604743083003953,0.04216373437414969,0.941333932552947,0.515,0.08,0.505,0.0,0.58,0.085,0.58,0.005
Historical,Passenger Cars,73,-0.5185185185185185,0.23076923076923084,0.037311996781772445,0.95,0.51,0.745,0.53,0.38,0.415,0.765,0.55,0.41
Historical,Radio,65,0.7517241379310345,0.5714285714285713,0.06345713744377245,0.9068104093312059,0.525,0.05,0.46,0.215,0.61,0.075,0.55,0.205
Historical,Passenger Cars,71,0.6250000000000001,0.9096774193548388,0.03574489634856159,0.9281275915050173,0.495,0.125,0.495,0.005,0.46,0.12,0.535,0.0
Historical,Steamships,70,0.4234234234234234,0.8730158730158731,0.05899125844729524,0.95,0.54,0.22,0.5,0.0,0.542713567839196,0.3015075376884422,0.5276381909547738,0.02512562814070352
Historical,Telephones,77,-0.5128205128205129,-0.4008097165991903,0.06420746848926806,0.9031684974840029,0.495,0.79,0.525,0.75,0.455,0.76,0.52,0.765
Historical,Passenger Cars,73,-0.5894736842105264,0.5555555555555555,0.04633581430137144,0.9499199566526719,0.555,0.855,0.495,0.215,0.49,0.845,0.52,0.17
Historical,Fluid Catalytic Cracking Refineries,66,0.8666666666666666,0.9999999999999999,0.05493008629567297,0.95,0.5425531914893617,0.10638297872340426,0.4326241134751773,0.07092198581560284,0.4666666666666667,0.11851851851851852,0.5,0.044642857142857144
Historical,Telephones,43,0.8441558441558441,0.5619047619047619,0.04936665112958019,0.95,0.405,0.005,0.45,0.13,0.515,0.02,0.535,0.175
Historical,Passenger Cars,74,-0.5684210526315789,0.7426900584795321,0.0364261220221553,0.95,0.515,0.855,0.545,0.085,0.49,0.78,0.565,0.06
Historical,Telephones,53,0.8042328042328042,0.8062678062678064,0.04627909443299278,0.95,0.465,0.02,0.465,0.005,0.465,0.02,0.56,0.03
Historical,Telephones,68,0.9465240641711232,0.36363636363636365,0.04709703898050365,0.8340372690103031,0.48,0.0,0.49,0.28,0.475,0.0,0.51,0.29
Historical,Passenger Cars,39,0.934640522875817,0.2941176470588235,0.03511054403757487,0.9446780611006721,0.555,0.005,0.57,0.42,0.565,0.0,0.665,0.51
Historical,Passenger Cars,47,0.6199999999999999,0.9565217391304348,0.05092993354189531,0.95,0.51,0.14,0.475,0.0,0.525,0.09,0.59,0.0
Historical,Telephones,54,0.7566137566137565,0.4586894586894587,0.047512306148586377,0.95,0.505,0.055,0.44,0.25,0.47,0.07,0.55,0.26
