tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Hydroelectricity,EGY,Egypt,TWh,1965,2008,2021,pre_saturation,national,regional_csv
Nuclear Energy,HUN,Hungary,TWh,1965,2019,2021,saturating,national,regional_csv
Hydroelectricity,COL,Colombia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Nuclear Energy,DEU,Germany,TWh,1965,2001,2006,saturating,national,regional_csv
Nuclear Energy,LTU,Lithuania,TWh,1965,1990,2021,pre_saturation,national,regional_csv
Nuclear Energy,FRA,France,TWh,1965,2005,2008,saturating,national,regional_csv
Nuclear Energy,NLD,Netherlands,TWh,1965,2009,2021,pre_saturation,national,regional_csv
Nuclear Energy,FIN,Finland,TWh,1965,2019,2021,saturating,national,regional_csv
Nuclear Energy,CZE,Czech Republic,TWh,1965,2013,2021,saturating,national,regional_csv
Nuclear Energy,BGR,Bulgaria,TWh,1965,2002,2021,pre_saturation,national,regional_csv
Nuclear Energy,ROU,Romania,TWh,1965,2009,2021,saturating,national,regional_csv
Nuclear Energy,BEL,Belgium,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Nuclear Energy,USA,US,TWh,1965,2019,2021,saturating,national,regional_csv
Nuclear Energy,IRN,Iran,TWh,1965,2017,2021,pre_saturation,national,regional_csv
Nuclear Energy,MEX,Mexico,TWh,1965,2018,2021,pre_saturation,national,regional_csv
Nuclear Energy,CHN,China,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Nuclear Energy,IND,India,TWh,1965,2019,2021,saturating,national,regional_csv
Nuclear Energy,JPN,Japan,TWh,1965,1998,2002,saturating,national,regional_csv
Hydroelectricity,BRA,Brazil,TWh,1965,2011,2021,pre_saturation,national,regional_csv
Nuclear Energy,PAK,Pakistan,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,ARG,Argentina,TWh,1965,2006,2021,pre_saturation,national,regional_csv
Hydroelectricity,USA,US,TWh,1965,1997,2021,pre_saturation,national,regional_csv
Nuclear Energy,KOR,South Korea,TWh,1965,2015,2021,pre_saturation,national,regional_csv
Hydroelectricity,BGR,Bulgaria,TWh,1965,2015,2021,pre_saturation,national,regional_csv
Nuclear Energy,TWN,Taiwan,TWh,1965,2014,2021,pre_saturation,national,regional_csv
Nuclear Energy,ZAF,South Africa,TWh,1965,2016,2021,pre_saturation,national,regional_csv
Nuclear Energy,CAN,Canada,TWh,1965,1994,2021,pre_saturation,national,regional_csv
Hydroelectricity,ECU,Ecuador,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,PER,Peru,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,VEN,Venezuela,TWh,1965,2008,2021,pre_saturation,national,regional_csv
Hydroelectricity,AUT,Austria,TWh,1965,2012,2021,pre_saturation,national,regional_csv
Hydroelectricity,JPN,Japan,TWh,1965,1991,2021,pre_saturation,national,regional_csv
Hydroelectricity,MYS,Malaysia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,NZL,New Zealand,TWh,1965,1995,2021,pre_saturation,national,regional_csv
Hydroelectricity,PAK,Pakistan,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Hydroelectricity,PHL,Philippines,TWh,1965,2012,2021,pre_saturation,national,regional_csv
Hydroelectricity,KOR,South Korea,TWh,1965,2003,2021,pre_saturation,national,regional_csv
Hydroelectricity,BEL,Belgium,TWh,1965,2000,2021,pre_saturation,national,regional_csv
Nuclear Energy,ARE,United Arab Emirates,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,IDN,Indonesia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,EGY,Egypt,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,MAR,Morocco,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,ZAF,South Africa,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,AUS,Australia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,BGD,Bangladesh,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,CHN,China,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,HKG,China Hong Kong SAR,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,IND,India,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,JPN,Japan,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,ARE,United Arab Emirates,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,MYS,Malaysia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,NZL,New Zealand,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,PAK,Pakistan,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,PHL,Philippines,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,SGP,Singapore,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,KOR,South Korea,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,LKA,Sri Lanka,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,DZA,Algeria,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,SAU,Saudi Arabia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,ESP,Spain,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,KAZ,Kazakhstan,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,CHE,Switzerland,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,ISL,Iceland,TWh,1965,2017,2019,saturating,national,regional_csv
Renewable Power,TUR,Turkey,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,UKR,Ukraine,TWh,1965,2021,2021,pre_saturation,national,regional_csv
